k	t	BUS__DEM_LAB	BUS__F	BUS__INC	BUS__LAG_F	BUS__PROF	BUS__SUP_GOOD	GOOD__DEM_GOOD	GOOD__SUP_BUS	GOOD__SUP_GOOD	GOV__DEM_GOOD	GOV__F	GOV__FISC_BAL	GOV__INC	GOV__LAG_F	GOV__PRIM_BAL	GOV__T	HH__AfterTax	HH__AlphaFin	HH__AlphaIncome	HH__DEM_GOOD	HH__EXP_AfterTax	HH__F	HH__INC	HH__LAG_AfterTax	HH__LAG_F	HH__SUP_LAB	HH__T	LAB__DEM_LAB	LAB__SUP_HH	LAB__SUP_LAB	TF__T	TF__TaxRate
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0.4	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0.2
1	1	29.6	0	0	0	0	29.6	29.6	29.6	29.6	20	-14.08	-14.08	-14.08	0	-14.08	5.92	23.68	0.4	0.6	9.6	16	14.08	29.6	16	0	29.6	5.92	29.6	29.6	29.6	5.92	0.2
2	2	39.84	0	0	0	0	39.84	39.84	39.84	39.84	20	-26.112	-12.032	-12.032	-14.08	-12.032	7.968	31.872	0.4	0.6	19.84	23.68	26.112	39.84	23.68	14.08	39.84	7.968	39.84	39.84	39.84	7.968	0.2
3	3	49.568	0	0	0	0	49.568	49.568	49.568	49.568	20	-36.198	-10.086	-10.086	-26.112	-10.086	9.9136	39.654	0.4	0.6	29.568	31.872	36.198	49.568	31.872	26.112	49.568	9.9136	49.568	49.568	49.568	9.9136	0.2
4	4	58.272	0	0	0	0	58.272	58.272	58.272	58.272	20	-44.544	-8.3456	-8.3456	-36.198	-8.3456	11.654	46.618	0.4	0.6	38.272	39.654	44.544	58.272	39.654	36.198	58.272	11.654	58.272	58.272	58.272	11.654	0.2
5	5	65.788	0	0	0	0	65.788	65.788	65.788	65.788	20	-51.386	-6.8424	-6.8424	-44.544	-6.8424	13.158	52.631	0.4	0.6	45.788	46.618	51.386	65.788	46.618	44.544	65.788	13.158	65.788	65.788	65.788	13.158	0.2
6	6	72.133	0	0	0	0	72.133	72.133	72.133	72.133	20	-56.96	-5.5734	-5.5734	-51.386	-5.5734	14.427	57.706	0.4	0.6	52.133	52.631	56.96	72.133	52.631	51.386	72.133	14.427	72.133	72.133	72.133	14.427	0.2
7	7	77.408	0	0	0	0	77.408	77.408	77.408	77.408	20	-61.478	-4.5185	-4.5185	-56.96	-4.5185	15.482	61.926	0.4	0.6	57.408	57.706	61.478	77.408	57.706	56.96	77.408	15.482	77.408	77.408	77.408	15.482	0.2
8	8	81.747	0	0	0	0	81.747	81.747	81.747	81.747	20	-65.129	-3.6506	-3.6506	-61.478	-3.6506	16.349	65.398	0.4	0.6	61.747	61.926	65.129	81.747	61.926	61.478	81.747	16.349	81.747	81.747	81.747	16.349	0.2
9	9	85.29	0	0	0	0	85.29	85.29	85.29	85.29	20	-68.071	-2.942	-2.942	-65.129	-2.942	17.058	68.232	0.4	0.6	65.29	65.398	68.071	85.29	65.398	65.129	85.29	17.058	85.29	85.29	85.29	17.058	0.2
10	10	88.168	0	0	0	0	88.168	88.168	88.168	88.168	20	-70.437	-2.3665	-2.3665	-68.071	-2.3665	17.634	70.534	0.4	0.6	68.168	68.232	70.437	88.168	68.232	68.071	88.168	17.634	88.168	88.168	88.168	17.634	0.2
11	11	90.495	0	0	0	0	90.495	90.495	90.495	90.495	20	-72.338	-1.9009	-1.9009	-70.437	-1.9009	18.099	72.396	0.4	0.6	70.495	70.534	72.338	90.495	70.534	70.437	90.495	18.099	90.495	90.495	90.495	18.099	0.2
12	12	92.373	0	0	0	0	92.373	92.373	92.373	92.373	20	-73.864	-1.5254	-1.5254	-72.338	-1.5254	18.475	73.898	0.4	0.6	72.373	72.396	73.864	92.373	72.396	72.338	92.373	18.475	92.373	92.373	92.373	18.475	0.2
13	13	93.885	0	0	0	0	93.885	93.885	93.885	93.885	20	-75.087	-1.2231	-1.2231	-73.864	-1.2231	18.777	75.108	0.4	0.6	73.885	73.898	75.087	93.885	73.898	73.864	93.885	18.777	93.885	93.885	93.885	18.777	0.2
14	14	95.099	0	0	0	0	95.099	95.099	95.099	95.099	20	-76.067	-0.98015	-0.98015	-75.087	-0.98015	19.02	76.079	0.4	0.6	75.099	75.108	76.067	95.099	75.108	75.087	95.099	19.02	95.099	95.099	95.099	19.02	0.2
15	15	96.074	0	0	0	0	96.074	96.074	96.074	96.074	20	-76.852	-0.78512	-0.78512	-76.067	-0.78512	19.215	76.86	0.4	0.6	76.074	76.079	76.852	96.074	76.079	76.067	96.074	19.215	96.074	96.074	96.074	19.215	0.2
16	16	96.857	0	0	0	0	96.857	96.857	96.857	96.857	20	-77.481	-0.6287	-0.6287	-76.852	-0.6287	19.371	77.485	0.4	0.6	76.857	76.86	77.481	96.857	76.86	76.852	96.857	19.371	96.857	96.857	96.857	19.371	0.2
17	17	97.483	0	0	0	0	97.483	97.483	97.483	97.483	20	-77.984	-0.50332	-0.50332	-77.481	-0.50332	19.497	77.987	0.4	0.6	77.483	77.485	77.984	97.483	77.485	77.481	97.483	19.497	97.483	97.483	97.483	19.497	0.2
18	18	97.986	0	0	0	0	97.986	97.986	97.986	97.986	20	-78.387	-0.40287	-0.40287	-77.984	-0.40287	19.597	78.389	0.4	0.6	77.986	77.987	78.387	97.986	77.987	77.984	97.986	19.597	97.986	97.986	97.986	19.597	0.2
19	19	98.388	0	0	0	0	98.388	98.388	98.388	98.388	20	-78.709	-0.32243	-0.32243	-78.387	-0.32243	19.678	78.71	0.4	0.6	78.388	78.389	78.709	98.388	78.389	78.387	98.388	19.678	98.388	98.388	98.388	19.678	0.2
20	20	98.71	0	0	0	0	98.71	98.71	98.71	98.71	20	-78.967	-0.25802	-0.25802	-78.709	-0.25802	19.742	78.968	0.4	0.6	78.71	78.71	78.967	98.71	78.71	78.709	98.71	19.742	98.71	98.71	98.71	19.742	0.2
21	21	98.968	0	0	0	0	98.968	98.968	98.968	98.968	20	-79.174	-0.20646	-0.20646	-78.967	-0.20646	19.794	79.174	0.4	0.6	78.968	78.968	79.174	98.968	78.968	78.967	98.968	19.794	98.968	98.968	98.968	19.794	0.2
22	22	99.174	0	0	0	0	99.174	99.174	99.174	99.174	20	-79.339	-0.1652	-0.1652	-79.174	-0.1652	19.835	79.339	0.4	0.6	79.174	79.174	79.339	99.174	79.174	79.174	99.174	19.835	99.174	99.174	99.174	19.835	0.2
23	23	99.339	0	0	0	0	99.339	99.339	99.339	99.339	20	-79.471	-0.13218	-0.13218	-79.339	-0.13218	19.868	79.471	0.4	0.6	79.339	79.339	79.471	99.339	79.339	79.339	99.339	19.868	99.339	99.339	99.339	19.868	0.2
24	24	99.471	0	0	0	0	99.471	99.471	99.471	99.471	20	-79.577	-0.10575	-0.10575	-79.471	-0.10575	19.894	79.577	0.4	0.6	79.471	79.471	79.577	99.471	79.471	79.471	99.471	19.894	99.471	99.471	99.471	19.894	0.2
